,0,1
580,آیدی پیج اصلی تتلو کی داره,"""غیرتنفر"""
581,تو رو ساختن برای خدمت به بن سلمان,"""تنفر"""
582,دهشدنت مبارک انشالله میلیاردی شدنت,"""غیرتنفر"""
583,آقای ولی الله در مورد مردای زندگیت هم ازمامانت بپرس,"""تنفر"""
584,سحر توی واتساپ جواب سوالم بده به ضرر نمیکنید,"""غیرتنفر"""
585,خبرت همه جا بخش شده,"""غیرتنفر"""
586,خدایا خودت از دست جهالت نجاتمون بده الهی آمین,"""تنفر"""
587,سلام بچه‌ها صبح بخیر کرکره کامنتو میدم بالا,"""غیرتنفر"""
588,من آیه الکرسی نذر کردم  شب بخونم بیاین باهم بخونیم که حاجت روا بشیم,"""غیرتنفر"""
589,زیاد جدی نگیر سینا جان کلا اخوندا عادت دارن به گوه خوری کردن وگرنه دیقا خودشون میدونن حرومزادتر از خودشون رو زمین وجود نداره,"""تنفر"""
590,کیر ممد چاخان تو لنگت,"""تنفر"""
591,نوید شب اونجا موند هلسه برا هلسه,"""غیرتنفر"""
592,چرا قریشی‌ها رو میریزید تو تتلو‌ها,"""غیرتنفر"""
593,گربه ما هم همین شکلی میخوابه,"""غیرتنفر"""
594,حس میکنم اولین باره میبینم نوید میخنده,"""غیرتنفر"""
595,نیم یک هزارمش رو هم ندارن,"""غیرتنفر"""
596,بچه‌ها بخوابید دیگه کرکره کامنتو بستم,"""غیرتنفر"""
597,چقد زور میزنهیکی پیزی این سینارو جمع بکنه,"""تنفر"""
598,از خودتون حرف در نیارید شاید ازدواج نکرده کرده باش هم مبارک باشه,"""غیرتنفر"""
599,تتلو و سحر و طارمی چخبره,"""غیرتنفر"""
600,مهدی رو تیغ زدی حالا نوبت امیره,"""تنفر"""
601,هنوز باورش نمیشه انگار زن برد پیت شده نوید سه تا هزار تومن بدو بدو حراجش کردم,"""تنفر"""
602,روز زن سالی چند باره,"""تنفر"""
603,چنده رفتی با تتلو میدونستم آدم لاشی هستی همون اول,"""تنفر"""
604,فقط هواست باشه جلو دوربین پر تف نزنی که این بشر زود دلش سیر میشه,"""تنفر"""
605,اخ اخ کی به من آمپول گوشتی میزنه,"""تنفر"""
606,مگه از سمیرا خوشگل ترم هست,"""غیرتنفر"""
607,فرشته‌ی مهربون ودوست داشنی,"""غیرتنفر"""
608,تنها کاپل دوست داشتنی سینمای ایران,"""غیرتنفر"""
609,کلشون رو باید بدیم یه بزغاله بگیریم,"""تنفر"""
610,سحر جان توکجا این تتلو کجا واقعا حیف تو نیست یعنی من یکی خیلی نارحتدشدم,"""غیرتنفر"""
611,پس مانده گیر تتلو افتاد تو ایران همه باهاش عشق حال کردن دست دوم که شد گیر تتلو افتاد,"""تنفر"""
612,خو کامنت‌ها رو خوندیم تمام الان برید دیگه,"""غیرتنفر"""
613,والا من موندم توچطور عاشق اون تتلوشدی بااون قیافه‌اش,"""تنفر"""
614,ای جوونم دلم رفت که,"""غیرتنفر"""
615,چه حس خوبی داره این عکس,"""غیرتنفر"""
616,سحر الان تو متارکه ایی,"""غیرتنفر"""
617,دوستان انقد قضاوت نکنید چارروز دیگه خدای نکرده اینم خودکشی میکنه عذاب وجدان میگیریدا,"""غیرتنفر"""
618,چرا خیانتخاک بر شرت کنم,"""تنفر"""
619,چقدر حس و حال این عکسو دوست داشتم عشقتون پایدار,"""غیرتنفر"""
620,ایشلله به پای یک کرهکیفه بیرن,"""غیرتنفر"""
621,بهترین زوج سال رو معرفی میکنم,"""غیرتنفر"""
622,چرا تتلومگه من چمه به دنیا گفتم مهرداد تتلو ولت میکنند گوش نکرد,"""غیرتنفر"""
623,از تتل بگو واسمون یکم,"""غیرتنفر"""
624,کیر تتلو تتو دارهمینی بوس زده راست میکنه میره تو کصت اتوبوس میشه,"""تنفر"""
625,صددرصد تتلو و سحر باهم نیستن چون من میگم تمام کنین این بحثو,"""غیرتنفر"""
626,خانم قریشی فیلم سکس تتلو و دنیا جهانبخت رو دیدی همه ایران دیدند شما خودتو زدی به اون راه تتلو عددی نیست یه شیطانه که آهنگ شیطان پخش میکنه هیچ جایی نداره بین مردم,"""تنفر"""
627,انقدر قضاوت نکنید از خدا بترسید بابا اصلا این کارم کرده باشه ب ما ربطی نداره ما خودمون همچین پاک نیستم هرگوهی میخوریم ب بقیه ک میرسه میریم بالای منبر سرت تو کار خودت باشه دوست من,"""غیرتنفر"""
628,باید مینوشتی قربونش برم انقد ورجه وورجه کرد آخر خابش برد,"""غیرتنفر"""
629,این پدر نفهمش از قیافه و استیلش بلاهت هم میباره,"""تنفر"""
630,چرا انقد به همه میچسبی من خیلی دوستت دارم واقعا دختر مستقل زیبا و تلاشگری هستی اما انقد نچسب یه عکس هم با اشکان خطیبی داشتی چسبیده بودی بهش به هرحال موفقتر از این ببینمت,"""غیرتنفر"""
631,حیف تتلو خدا وکیلی از سرتم زیادیه,"""تنفر"""
632,ایشالاه پیر شین به پایه هم ولی فک نکنم,"""غیرتنفر"""
633,زندگی بدونه سمیرا خر است,"""غیرتنفر"""
634,کمتر خونه تتل آتیش بازی کن,"""غیرتنفر"""
635,چه بامزه و شیطون بلا افتادید,"""غیرتنفر"""
636,زبونتو در بیار ببینم رنگارنگ هست یا نه,"""تنفر"""
637,چقدر به هم میاین واقعاایشالله همیشه شاد و خرم در کنار همدیگر باشیددوستتون داریم,"""غیرتنفر"""
638,نمیدونم به مشکلاتمون درایران بخندم یا فقط فحاشی کنم سینا جان,"""تنفر"""
639,آخه این همه آدم چرا تتل حالا,"""تنفر"""
640,خیلی کنار هم قشنگید بمونید برای هم همیشه,"""غیرتنفر"""
641,سینا جان به خدا حرف هات طلاست چه قدر این آخوندها پررو هستن,"""تنفر"""
642,چقدر دیدن شما دوتا کنار هم حس خوبی داره ,"""غیرتنفر"""
643,ی آدم درست حسابی که نمیاد شماها رو بگیره اگر همین تالیا بیان دور و برتون,"""تنفر"""
644,خب اخه اگه دلت کیر میخاست خیلی‌ها بودن تو ایران حتی همین بازیگرای ایران مجرد‌ها شون باهات راه میومدن و باهات حال میکردن و بین خودتون تا ابد می‌موندچرا رفتی پیش تتلو اخهاخه دوست داری ابرو تو ببری,"""تنفر"""
645,الان یکی میاد میگه برای رفع تیرگی واژن,"""غیرتنفر"""
646,یا رب روا مدار ک گدا معتبر شود,"""تنفر"""
647,تتلو توی یوتوب گفته که دیگه هیچ پیج رسمی در اینستاگرام و یا تلگرام و یا هر شبکه مجازی دیگه‌ای نداره اون گفته تمام فعالیتش از این به بعد در یوتیوب شروع میشه به کانال یوتیوبش برید و سابسکرایبش کنید,"""غیرتنفر"""
648,سندباد پدر طلبه‌ها اینقدر سفر علمی رفت ک دیگه نیازی به رفتن بچه هاش نیست,"""تنفر"""
649,ففط دهن و مماغ پیشو اوخ,"""غیرتنفر"""
650,برگرد نیسان ابی تمام شه,"""غیرتنفر"""
651,پس این یارانه رو کی میریزن میخوام لباس عید بگیرم,"""غیرتنفر"""
652,قید بازیگری ایران اومدن بزنی,"""غیرتنفر"""
653,خیلی خیلی شیرین وخوشگلی سحری,"""غیرتنفر"""
654,دنیا جهانبخت فقط با خواننده‌ها رل میزنهترلان پروانه فوتبالیستها ,"""تنفر"""
655, اخه تو گوگل نوشه متولد,"""غیرتنفر"""
656,باز این دوتا لوس و نونور,"""تنفر"""
657,اون دختره ک با تتلوعه دستاش همش تتوعه ولی دستا سحرو ببینید,"""غیرتنفر"""
658,فک کنم زیبایی اگ تصویر بود شما زیباترین تصوری یا قاب جهان میشیدید,"""غیرتنفر"""
659,نمیترسی تتل بیماری جنسی داشته باشه زگیل تبخالو اینا,"""غیرتنفر"""
660,حداقل پست رهبر رو حذف کن,"""غیرتنفر"""
661,به پای هم پیر شین فقط این دفعه تتل رو تیغ نزن با تشکر,"""تنفر"""
662,آخه مگه داریم انقد خوشتیپ,"""غیرتنفر"""
663,مگه چیکار میکنن معلم‌ها همش بیکارن تازه این حقوقی هم که میگرین ازشون زیاده اینجا که اروپا نیست معلم نخبه باشه اینجا ایرانه و یارو بارتبه هزار معلم میشه باید تاوانشم پس بده,"""تنفر"""
664,اقا نوید خوشگل شده چخبره,"""غیرتنفر"""
665,یه تسلیت نگفتی همکارت فوت شده خانم زهره شکور,"""غیرتنفر"""
666,بابا خوانندش کیه نموده شدم پیدا نمیکنم,"""غیرتنفر"""
667,من براش مهدی طارمی بودم ولی اون تتلو دوست داشت,"""غیرتنفر"""
668,بدبخت اون شوهرت که تورو اورد تو این سینما بعد تا به جای رسیدی ازش جدا شدی لیاقت تو آدم‌های مثل خودتن,"""تنفر"""
669,تو چیجوری توی بغل تتلو میخابی خب من تتلو رو شب یهویی تو کوچه ببینمش با اون قیافه‌ای ک ساخته دلم میترکه کص رو حیف کردی بخدا حالا کاری ب خانندگی و معروفیتش ندارم چیجوری میری تو بغل یک سطل رنگو جوهر جامیشی خب,"""تنفر"""
670,بی نظیری شما بالاخره یکی پیدا شد تو دهن اینها بزنه,"""تنفر"""
671,حاج خانوم از تهه دل ب تتلو بدی,"""تنفر"""
672,دختره عنتر این چه پروفایلیه گذاشتی داری نماد بازی میکنی,"""تنفر"""
673,ای خدا کی ما از دست اینا راحت میشیم,"""تنفر"""
674,میخوام بدونم چیزی به نام غیرت تو وجودت هست چجوری کسی که دوسش داری رو اینجوری ول میکنی جوری لباس بپوشه که باعث جلب توجه مردای دیگه بشه,"""تنفر"""
675,راسته میگن سحرباتتلوازدواج کرده الان ترکیس,"""غیرتنفر"""
676,فرزند خونده نمیخایین منو قبول کنین,"""غیرتنفر"""
677,این جماعت برای کنترل توالت عمومی پارکها بیشتر میتوانند خدمت کنند,"""تنفر"""
678,سحر مرد میبینه زانوهاش شل میشه مثل ممد چاخان,"""تنفر"""
679,به حرف هاشون اهمیت نده,"""غیرتنفر"""
680,پارسال این زمان میره پیش یکی دیگه,"""تنفر"""
681,این طلبه مفتخور اراجیف گوی که از همه طلبکار باید باشه چون میخواد یه مشت دری وری تکرتری بخورد مردم بده,"""تنفر"""
682,خوابم نبرد موقت کرکره کامنتو میدم بالا,"""غیرتنفر"""
683,جان چه پیشی نازی حیوونکی دستش شکسته,"""غیرتنفر"""
684,سحر قریشی نمونه بارز یک لاشی پسند,"""تنفر"""
685,جفتتون کنار هم قشنگین اخه,"""غیرتنفر"""
686,با اینکه از ذات کثیف آخوند جماعت متنفرمولی هیچگونه حقی برای آموزگاران قایل نیستمهمین مقدار حقوقی هم که میگیرن از سرشان زیادهیه مشت اراجیف و کتابهای مهندسی شده به خورد بچه‌ها میدننمیدانم با چه رویی میگن حقوقشان افزایش پیدا بکنه,"""تنفر"""
687,اینام یاد گرفتن از پول مملکت برن دور دور,"""تنفر"""
688,داش مهدی عشق مکنم ته دیگتو میخورن پز اممیدن,"""تنفر"""
689,موندم این چه کار کرده  میلیون فالور داره,"""تنفر"""
690,ایندفعه به کاهدون زدی سحر خانم تتل جز جفت چیزش چیزی بت نمیده این مثل طارمی پشگل نی ک خودش دهن چیزه,"""تنفر"""
691,بیشرف دوست فوت کرده یه استوری نزاشتی خاک برسرت کنم خجالت خوب چیزی,"""تنفر"""
692,یه پورن باتتل باری کنید,"""تنفر"""
693,طارمی الان یه سوپراستار که دخترای پرتقالی براش میمیرن مگه با رونالدو رل بزنی که ازطارمی سرتر باشه,"""تنفر"""
694,دورباد آفت دورفلک از جان و تنتون,"""غیرتنفر"""
695,تتلو خوب میکنه سیر میشی یا نه اینم ول میکنی من میگم تو آخر مجبوری زن یه سیاه پوست بشی چون مال اونا خیلی بزرگه و باب میلت,"""تنفر"""
696,جدی جدی تتلو گرفتی خاک به اون قور باقه کی نگاه میکنه,"""تنفر"""
697,ببین تو چقدر بلدی خدایی هم کشف حجاب نکردی هم عکس واقعی نزاشتیکه عشق وحالت که تموم شد برگردی ایران خیلی راحت هم بگی من کاری نکردم همه اونا هم فتوشاپ بوده ببین یعنی آخر حروم زاده‌های عالمی ایول داری,"""تنفر"""
698,الان یکی میاد مینویسه فرشته یه قلب هم میذاره,"""غیرتنفر"""
699,راسته که میگن سحر قریشی با امیر آرتا بوده,"""غیرتنفر"""
700,با ی انتخاب اشتباه ک به شخصیتت نمیومد واقعا کل زحمتاتو به باد دادی تبریک میگم,"""تنفر"""
701,دقیقا شادی هاتون بی پایان لحظه هاتون خوش,"""غیرتنفر"""
702,موفق باشی خواهر عزیزم همشهری گلم,"""غیرتنفر"""
703,بابا بسه سینا جان چقدر خود شیرینی شما آخه میخوای خانوما بیان بهت بگن آفرین دمت گرم,"""تنفر"""
704,فک کنم تا الان تتل هزار بار گذاشته کونت دیگه خوشبخت واقعی شدی هرزه,"""تنفر"""
705,نفر بعدی کیه حاج خانوم,"""تنفر"""
706,نوید یا گربه کدوم کوچولوئه,"""غیرتنفر"""
707,ناموسن پولای جمشید قاسمپورو برگردون بدبخت زندگیش پاچید,"""تنفر"""
708,حیف مهدی طارمی نبود پسر به این خوبی لیاقتت همون هولو بیناموس,"""تنفر"""
709,امیر رو به تو سپردیم مواظبش باش سحر جان,"""غیرتنفر"""
710,گربه نجسه موهاش میریزه تو غذا چیه اه اه,"""تنفر"""
711,سحر این حرف‌ها چیه پشتت درآوردن با تتلو واقعیت داره,"""غیرتنفر"""
712,حاج خونم تتلو بدبخت شدنت مبارکت,"""تنفر"""
713,بانوی زیبا خوشبخت باشین کنار هم,"""غیرتنفر"""
714,به امید مرگ بی دردزندگی نذاشتن ب,"""تنفر"""
715,فردا که جداشید اون آشغال هم همه جای بدن تو برای مردم شرح میدهید,"""تنفر"""
716,چه عکس دلنشینیکمک به حیوانات کار شریفترین انسانهاست,"""غیرتنفر"""
717,والا بخدا مسخره نکن اگر بدونی هزینه‌ای که هرسال برای مفتخوری اینا میذارن چقد هست اینو نمیگفتی سفر چیه اونا هر گوه دیگه‌ای هم میخان میتونن بخورن الانم که یک سری دارن حقوق میگیرن بیان رصد کنن ببینن کی بر خلاف منافعشون حرف میزنه گروهی حمله کنن بهش,"""تنفر"""
718,هر روز روزه زنه که ده بار تو سال روز زنه,"""تنفر"""
719,یکم چاق شدی صورتت بانمکترشده دخترجان,"""غیرتنفر"""
720,چقدر حجاب بهت میاد دختر زیبا,"""غیرتنفر"""
721,سحر امیر شومبولی لنگات رو دراسمان کرد یانه,"""تنفر"""
722,چرا هرکی از ایران میره میگن رفته پیش تتلو مگه مردم آهنن تتلو آهنربا,"""غیرتنفر"""
723,سحر جان پیشونی امیر ببوس از طرف یک آدم تک پاره,"""غیرتنفر"""
724,آخر جریانت چیشد رو کن تموم شه بره,"""غیرتنفر"""
725,متاسفم برات کسی که راهش کج باشه اخرش به کجی میرهتوالگوجوانان بودی رفتی باتتلو ی ولگرد,"""تنفر"""
726,حسودا حرف زیاد میزنن سحرجان,"""غیرتنفر"""
727,مبارکه به پایه هم فسیل شید با تتل,"""غیرتنفر"""
728,وای خدا این بهترین عکسه,"""غیرتنفر"""
729,من اخر نفهمیدم رل ایشون کیه,"""غیرتنفر"""
730,چه گوشت حقی میزنه تتلو,"""تنفر"""
731,این لاشی همون نبود که مردا رو توی استادیوم میدید منقلب میشد,"""تنفر"""
732,دم محمدرضا شریفی نیا گرم که بدون اینکه اجازه بده سحر اونو بتیغه حسابی بالا پایینش کرد و بعدشم مث یه دستمال کاغذی پرتش کرد,"""تنفر"""
733,خوبه آخونده خودش اعتراف میکنه هیچ مهارتی نداره پول چی رو میگیری بی مهارتی,"""تنفر"""
734,سحر میخواد حاشیه سازی کنه تتلو هم قصد ازدواج با کسی را نداره اگه الانم گفته حاج خانوم بخاطر پول دراوردن یوتیوب چند روز دیگه هم تتلو دلش زده میشه از این آدم,"""غیرتنفر"""
735,اخ جون چ خوبه دیدم شماهم گربه دارین,"""غیرتنفر"""
736,اسطوره تکرار نشدنی نوید محمد زاده عاشقتم لعنتی,"""غیرتنفر"""
737,واقعا چه فکری تو اون کلته با یه معتاد بی سروپا رل میزنی و,"""تنفر"""
738,چقدر عشق خوبه دو تا دیگه عاشق هم هستن ولی دیگران هم با دیدنش حالشون خوبه تو این جنگ وآشوب عاشق بمونین,"""غیرتنفر"""
739,هم تو ریختی تو جامعه که جامعه رو به گند بکشیبی,"""تنفر"""
740,دوستم منم ابی میخام باشم,"""غیرتنفر"""
741,هر چن به پای هم پیر نمیشین ولی سیر شین خانم قریشی,"""غیرتنفر"""
742,ما که هر جا از تتلو رو دیدم یه خالکوبی داره شما که کیرشو خوردی بگو ببینم رو کیرش چی کشیده,"""تنفر"""
743,انگار الان از مورده شور خونه درتون اوردن,"""تنفر"""
744,کنار آقاتون یک ساعت چند دقیقه اس,"""غیرتنفر"""
745,نفر بعد شاید تو باشی,"""تنفر"""
746,سهراین همه پسر توچرا میراونجاا,"""تنفر"""
747,باسلام درود فراوان بشما فرشته زیبایی مواظب داداش نوید ما باش چراکه من خیلی دوست دارمش طرفدارشم نمیدونم که فکرمیکنم دوست فاو مه ولی هست حس حس عجیبیه من سیستانی ام ودوستتون دارم,"""غیرتنفر"""
748,الی شوما خانوم فرشته حوسینی,"""غیرتنفر"""
749,سوار بر ماهواره نور میرفتی فضا سفر علمی خب اسکول خالی فرستادی فضا یاد اون میمون بیچاره افتادم رفت سفر علمی ولی دیگه برنگشت,"""تنفر"""
750,مبارکه از رو این میپری رو کر اون تنوع طلبی و این خوبه,"""غیرتنفر"""
751,تو این همه افراد مشهور کسی هست که پیشش نرفته باشی,"""تنفر"""
752,دم باباش گرم چی ساخته البته دکترها هم بی تاثیر نبودن,"""تنفر"""
753,تو به جای زهره فکور باید خودکشی میکردی,"""تنفر"""
754,راستی چه خبر از شوهرت تتلو,"""غیرتنفر"""
755,تتلو حتما چنان بزیه و زیر نافیت ک از سر دلت بدر زده چوچول بلندیش,"""تنفر"""
756,منم اسم خواهرم فرشته حسینی هم وطن جان,"""غیرتنفر"""
757,سحرخانم کارواجب دارم خدائ لطفا جواب بدین دایرکت,"""غیرتنفر"""
758,روز زن به تمامی زن‌ها سرزمینم مبارک,"""غیرتنفر"""
759,دعای خیر دوست خواهاتون بدرقه‌ی راهتون قشنگا,"""غیرتنفر"""
760,چی تو آبرنگ دیدی که ما نمیتونیم ببینیم یعنی خاک عالم بر سرت,"""تنفر"""
761,کسی عروس واسه مامانش نمیخواد,"""غیرتنفر"""
762,خنده دارین واقعاپول انقدرام ارزش نداره که دارین به این راحتی شرف و عزت واسش میدین والا که عزت و شرف گرون‌ترین دارایی یک انسان البته فک نکنم شما این چیزا رو بفهمید خانم نادان,"""تنفر"""
763,اندر تن من جان و رگ و خون همه اوست,"""غیرتنفر"""
764,الان نیکی مظفری پایه تمام پیج‌ها و بیکارترین ادم روی زمین کامنت میزاره,"""غیرتنفر"""
765,سینا با این برنامت مادرشون رو ب گ ا دادی,"""تنفر"""
766,آیا به شما ناهار دادن,"""غیرتنفر"""
767,کاش همه ایرانیا مثه نوید بودنه به نژادپرستی,"""غیرتنفر"""
768,پیر شین به پای هم,"""غیرتنفر"""
769,چقدر قشنگید شما در کنار هم,"""غیرتنفر"""
770,من براش بهنام بانی بودم اما اون تتلو دوست داشت,"""غیرتنفر"""
771,زبونش تا الان شبی رنگین کمان شده,"""تنفر"""
772,عزیزانم اینااهمش ی شایعه است,"""غیرتنفر"""
773,سحر واقعی رفتی ترکیه واقعا مگه ایران چشه که رفتی ترکیه,"""غیرتنفر"""
774,زنانی که حتی نیمی از حق آزادیشون رو هم ندارند,"""تنفر"""
775,اشتباه نکن مثل پارسا برکرد ایران بگو همه چی شایعه بوده هنوزم دیر نیس,"""غیرتنفر"""
776,ای خدا چقدر خوبید آخه,"""غیرتنفر"""
777,هنوز داری آتیش درست میکنی,"""غیرتنفر"""
778,مبارک باشه انشاالله خوشبخت بشینتبریک میگم به طرفداری آقای امیر تتلو سلطان و طرفدارهای خانم قریشی عشقتون همیشه تا آخرعمرتون پایداربمونه,"""غیرتنفر"""
779,کی لخت میشی میخایم ببینیم بدنتم عین فیست کیریه یا نه,"""تنفر"""
780,شب بخیر بچه‌ها کرکره کامنتو میبندم,"""غیرتنفر"""
781,مهرتون پایدار و عمرتون ماندگار و عشقتون پایدار,"""غیرتنفر"""
782,حقیقت داره با تتلو رل زدی,"""غیرتنفر"""
783,با شمبول قلمیش خوب میجونبونت یا ن,"""تنفر"""
784,سحرجان لطفا پیامای دایرکت رو بخون,"""غیرتنفر"""
785,مثلا یکی مثل این خانم قریشی حکم دستمال کاغذی داره هرکی میاد یه مدت کوتاه به  مدل آنگولایی ترتیب اینو میده بعد میندازه تو سطل اشغال امسال این خانوم که از بنیاد نه جنابت داره نه از خانوم بودن چیزی سرش میشه نه عفت میدونه چیه ابرو حیثیت دخترای ایرانو میبرن البته مال خودشه دوس داره درخت بکاره توش,"""تنفر"""
786,سفر علمیپدسگ تو علمت کجا بود برو روایت‌های رنگارنگ تو دستکاری کن,"""تنفر"""
787,با اینکه پرحاشیه هستید ولی چقدر طرفدار داریدموفق باشید,"""غیرتنفر"""
788,چقدرم ب هم میاد ناموسن خورشیدمن چشای توسحر,"""غیرتنفر"""
789,چرا روحتون رو به شیطان فروختین به چه قیمتپول ثروت قدرتهمش فانیهبیدار شید مردم,"""تنفر"""
790,چقد اینجور روابطی تحسین بر انگیزه,"""غیرتنفر"""
791,چرا رفتی چرا دادی من بیقرار م,"""تنفر"""
792,ناموسا چیزی زدی یسره به دوربین خیره شدی,"""تنفر"""
793,فردا پس فرداس که کلیپ ساک زدنت واسه تتلو بیاد بیرون,"""تنفر"""
794,وای خدا پیشیرو اقا نوید یه پا حیوان دوست عالی خوشمان امد پرفکت,"""غیرتنفر"""
795,پولا جمشید بالا کشیدی رفتی خرج تتلو کنی خیلی بیشعوری جمشید مرد خوبی بود,"""تنفر"""
796,آره دیگه بی فرهنگی و بی تخصصی بی سوادی از خصوصیات فرهنگی شماست لمپنیست خاص فرهنگ شماست هست ربطی هم به ایرانی‌ها نداره,"""تنفر"""
797,بمانید برای هم تا ابد دنیاخوشسلامتسعادتمند,"""غیرتنفر"""
798,به به چه عکس زیر خاکی,"""غیرتنفر"""
799,واقعا بایدخون گریست به حال خودمون,"""تنفر"""
800,آخ پیشی جان پات چی شده,"""غیرتنفر"""
801,پول اضافی هرزگی میاره همه جوره واسه آدم بی ظرفیتو وکم ظرفیت,"""تنفر"""
802,از نظر آقایون تنها مفت خور بودن و زر زدن حس خوبی داره,"""تنفر"""
803,منتظر بعدی باشیم یا زودهجواب بدین,"""غیرتنفر"""
804,مارس روز جهانی زن رو به همه بانوان ایرانی تبریک میگم,"""غیرتنفر"""
805,اگر انسانی انسانی رو به خاطر گناه یا اشتباهی قضاوت کندنمیرد تا خودش به آن دچار شودامام صادق,"""غیرتنفر"""
806,هرکی اومده ببینه سحر با تتلو ازدواج می‌کنه لایک کنه ببینه تو کامنت چی است نکنین زشته,"""غیرتنفر"""
807,هم دست آقا نوید زخمه هم دست گربه چرا,"""غیرتنفر"""
808,خاک بر سر دو زنه,"""تنفر"""
809,سلام زنده باشی نوید جان بهترین‌ها را برات آرزو میکنم,"""غیرتنفر"""
810,خانم سحر قریشی برات عکس سوپر درست کردن دایرکت برات فرستادم برو ببین,"""تنفر"""
811,این آخوندا اگه حرف نزنن ما نمیگیم تو لالی,"""تنفر"""
812,میدونی خیلی زشتی خدا میدونه قبل عمل چقد زشت بودی که پول دادی عکس قبل عمل تو هیچ جا پخش نکنن بعد میگی من هیچ جامو عمل نکردم پس حتما نچرالی,"""تنفر"""
813,آقای بیناموس تعرض عربستان به یمن و اسرائیل به فلسطین اسمش چیه عملیات ویژه یا چی,"""تنفر"""
814,منم حوانارو دوست دارم مخصوصا سگ,"""غیرتنفر"""
815,کیا اومدن کامنت تتلو رو بخونن,"""غیرتنفر"""
816,این عکس باعث شد بیشتر از قبل دوستون داشته باشم,"""غیرتنفر"""
817,بعدشمیک بازیگر مطرح با یک رپر مشهور و مشتی ازدواج کردنخلاف شرع که نیستبهشون میرسهسر سلامتیشون,"""غیرتنفر"""
818,مگه شوهر تو ایران نبود رفتی اونجا با اینجور ادما ازدواج کردی,"""تنفر"""
819,بنیانگذار تروریسم اسلامی محمد ابن عبدالله بود,"""تنفر"""
820,اصن چشام برق زد اینو دیدم عشقتون پایدار,"""غیرتنفر"""
821,حیوان پلیدقطعا اجنبی و ترک هست,"""تنفر"""
822,پولا جمشید قاسم پور کوفتت بشه,"""تنفر"""
823,حالا این ی اب شسته‌تر,"""غیرتنفر"""
824,امید وارم روزی برسد که از قضاوت‌های نادرست بکاهیم و اندکی به عواقب تهمت هایی که به دیگران میزنیم بیندیشیم چه زندگی‌ها که با سخنان پوچ و بیهوده ویران کردیمبه امید جهانی زیباتر و بدور از قضاوت‌های نادرست,"""غیرتنفر"""
825,زیبایید شما چقد کلی عشق برای شما,"""غیرتنفر"""
826,سحرمجبوره ازهمه چی ازدنیای زندگی اش زده بشه و شخصیت خودشو نادیده بگیره,"""غیرتنفر"""
827,ملت احمق الاغ فکر نکنم تا حالا هم فهمیده باشن مملکت رو دست کیا دادن,"""تنفر"""
828,سلام لطفا به پیام مهمی که بصورت دایرکت براتون ارسال کردم عنایت فرمایید,"""غیرتنفر"""
829,گربه نگه میدارید اونم تو خونه‌های آپارتمانی,"""تنفر"""
830,مثلا تو سفر علمی چه غلطی بکنی چقدر سواد داری که ادعا سفر علمی میکنیبری مفتخوری وزن بازی فقط آشغالا,"""تنفر"""
831,تحمل کامنت منفی نداریمن ازت متنفرم از تتلو دفتر نقاشیم متنفرم فیلم جدید برا فالور راه انداختین,"""تنفر"""
832,پیج تتلو کی داره بفرست,"""غیرتنفر"""
833,همین روزا مثل ریحانه پارسا رسوا میشی دور و بریات خوشگل میگن چخه چخه,"""تنفر"""
834,سحر ناموسا حرف پشت سرت زیاده بیا بگو به تتلو دادی یانهمن شبا خواب نمیرم,"""تنفر"""
835,تا حالا که حاشیه داشتی فکر میکردم تقصیر تو نیست ولی حالا که همکارت فوت کردو بجای تسلیت میای از خوشی هات استوری میکنی به این نتیجه رسیدم که واقعا احمقی و هرچی بهت میگن درسته,"""تنفر"""
836,چطوری با نوید کنار میای,"""تنفر"""
837,با تتلو بچه درس کنین بزا مادر زادی بچه رنگو به رنگ شه,"""تنفر"""
838,سینا بخدا این عکسو  بار شر کردی تا حالا,"""تنفر"""
839,افغانی چرا اینستاگرام تاییدت نکرده,"""تنفر"""
840,آخ دلم خنک میشه این آشغالا رو مسخره میکنی چقدر دلم میخاد بزنمشون,"""تنفر"""
841,مهم اینه در این لحظه حس خوبی داری در کنار تتل همین بسه اینکه بعدها چی بشه اصلا مهم نیست,"""غیرتنفر"""
842,برای شهرت ورسیدن به پول وفالور یک عده حاضرند هر کار کثیفی رو تجربه کنند پناه میبرم به خدا از انسانهای شیطان صفت,"""تنفر"""
843,یک طلبکار در دونیا هس اونم شیخا شپشو هستن,"""تنفر"""
844,به جای عکس خودت عکس اوکراین و بذارر حال و هوای بدی داریم,"""تنفر"""
845,من چند تا دوست افغان داشتم خیلی بامعرفتن,"""غیرتنفر"""
846,چ زود تغییر درت ایجاد کرده,"""غیرتنفر"""
847,تو قبر خمینی تف تو صورت خامنه‌ای و رییسی و هر خری که باعث شد الان پنج ساعت طول بکشه یه فیلم دانلود کنم,"""تنفر"""
848,خوش بحالتون هر روز کیس‌های جدید رو تجربه میکنید حال میکنیدا,"""غیرتنفر"""
849,الان همه دنبال پول و ثروت هستن تتلو باید خیلی پولدار باشه,"""غیرتنفر"""
850,چارروز دیگه تتل ولت میکنه باز فیلم ساک زدنت لو میره,"""تنفر"""
851,موندم که کدوم زنی رویش میشه بگه این الاغ شوهرم است و کدام بچه میگه این الاغ پدرم است ولی احتمالا مادر خودش با نیم گیگ باردار شده که این آدم ناقص الخلقه و الاغ به دنیا آمده,"""تنفر"""
